Email,Phone,DealerName,PackageTier,CodeCount
ahmet.yilmaz@example.com,905551234567,Ahmet Y?lmaz,M,5
mehmet.kaya@example.com,5552345678,Mehmet Kaya,L,1
ayse.demir@example.com,5553456789,Ayşe Demir,S,2
fatma.ozturk@example.com,905554567890,Fatma Öztürk,XL,7
ali.celik@example.com,905555678901,Ali Çelik,M,5
zeynep.sahin@example.com,5556789012,Zeynep Şahin,L,3
mustafa.yildiz@example.com,5557890123,Mustafa Yıldız,S,2
elif.arslan@example.com,905558901234,Elif Arslan,M,1
hasan.koc@example.com,905559012345,Hasan Koç,L,5
selin.aydin@example.com,5550123456,Selin Aydın,XL,7
